,Region,Country,Code,GAVI2004,GAVI2005,GAVI2006,GAVI2007,GAVI2008,GAVI2009,GAVI2010,GAVI2011,GAVI2012,GAVI2013,GAVI2014,GAVI2015,GAVI2016,GAVI2017,GAVI2018,GAVI2019,Pol3GAVI,Pol3GAVIa,DPT3GAVI,DPT3GAVIa,Polio,DPT3,VA,PS,RL,RQ,GE,CC,Importance,Safety,Effectiveness,GNI
1,EMR,Afghanistan,AFG,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,73,66,0.99,2.65,1.71,1.12,1.46,1.4,0.021,0.0447,0.0184,560
2,EUR,Albania,ALB,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.15,0.12,0.41,0.27,0.06,0.53,0.0167,0.1585,0.0896,4333.333333
3,AFR,Algeria,DZA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,91,1.04,1,0.82,1.3,0.52,0.62,0.037,0.1128,0.077,4386.666667
4,EUR,Andorra,AND,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,AFR,Angola,AGO,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,51,57,0.78,0.31,1.05,0.89,1.12,1.05,NA,NA,NA,3913.333333
6,AMR,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,95,0.76,0.96,0.41,0.49,0,0.28,NA,NA,NA,13583.33333
7,AMR,Argentina,ARG,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,84,86,0.6,0.12,0.43,0.49,0.09,0.07,0.0121,0.0485,0.0295,12643.33333
8,EUR,Armenia,ARM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,92,0.05,0.51,0.13,0.25,0.07,0.18,0.1218,0.2057,0.1247,3906.666667
9,WPR,Australia,AUS,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,95,1.32,1.09,1.73,1.87,1.57,1.81,0.0327,0.069,0.0409,55400
10,EUR,Austria,AUT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,85,85,1.33,0.98,1.88,1.46,1.49,1.55,0.1179,0.2105,0.1129,46226.66667
11,EUR,Azerbaijan,AZE,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,96,94,1.49,0.68,0.58,0.23,0.14,0.87,0.0832,0.1123,0.0842,5140
12,AMR,Bahamas,BHS,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,86,86,0.93,0.83,0.08,0.05,0.49,1.18,NA,NA,NA,29503.33333
13,EMR,Bahrain,BHR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.41,0.66,0.49,0.49,0.3,0.01,NA,NA,NA,21800
14,SEAR,Bangladesh,BGD,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,98,98,0.72,0.92,0.64,0.93,0.74,0.99,0.004,0.0091,0.0045,1370
15,AMR,Barbados,BRB,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,90,1.13,0.94,0.36,0.41,0.63,1.26,NA,NA,NA,15910
16,EUR,Belarus,BLR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,1.4,0.29,0.79,0.54,0.18,0.06,0.076,0.1478,0.0984,5876.666667
17,EUR,Belgium,BEL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,1.37,0.48,1.36,1.29,1.03,1.55,0.047,0.2064,0.0534,43786.66667
18,AMR,Belize,BLZ,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,0.53,0.07,0.78,0.54,0.68,0.2,NA,NA,NA,4386.666667
19,AFR,Benin,BEN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,75,76,0.09,0.35,0.66,0.38,0.44,0.32,0.018,0.1402,0.0661,1126.666667
20,SEAR,Bhutan,BTN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,97,97,0.1,1.09,0.59,0.33,0.31,1.62,NA,NA,NA,2656.666667
21,AMR,Bolivia (Plurinational State of),BOL,,,,,,,,,,,,,,,,,1,TRUE,0,FALSE,75,75,0.09,0.62,1.12,0.99,0.7,0.74,0.0177,0.131,0.0865,3030
22,EUR,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,73,73,0.2,0.4,0.23,0.19,0.63,0.61,0.0587,0.083,0.062,5153.333333
23,AFR,Botswana,BWA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,95,0.53,1.01,0.5,0.37,0.43,0.71,0.0383,0.09,0.0408,6696.666667
24,AMR,Brazil,BRA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,85,73,0.34,0.55,0.18,0.18,0.19,0.33,0.0051,0.0905,0.0668,9270
25,WPR,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.95,1.17,0.61,0.63,1.32,0.8,NA,NA,NA,33940
26,EUR,Bulgaria,BGR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,0.38,0.54,0.04,0.53,0.34,0.16,0.0692,0.1562,0.0644,7506.666667
27,AFR,Burkina Faso,BFA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,91,91,0.18,1.19,0.43,0.38,0.76,0.19,0.0287,0.2075,0.0862,683.3333333
28,AFR,Burundi,BDI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,93,93,1.71,1.65,1.43,0.95,1.33,1.46,0.0066,0.0653,0.0348,270
29,AFR,Cabo Verde,CPV,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,96,0.97,0.88,0.52,0.22,0.29,0.87,NA,NA,NA,3140
30,WPR,Cambodia,KHM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,92,1.2,0.08,0.94,0.57,0.58,1.3,NA,0.0754,0.0204,1143.333333
31,AFR,Cameroon,CMR,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,68,67,1.19,1.56,1.12,0.83,0.81,1.21,0.0182,0.1311,0.0955,1386.666667
32,AMR,Canada,CAN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,91,1.46,1.03,1.76,1.72,1.73,1.77,0.0537,0.0833,0.058,44793.33333
33,AFR,Central African Republic,CAF,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,47,47,1.2,2.18,1.73,1.37,1.75,1.23,NA,NA,NA,416.6666667
34,AFR,Chad,TCD,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,47,50,1.42,1.34,1.28,1.12,1.57,1.42,0.0434,0.1005,0.071,750
35,AMR,Chile,CHL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.02,0.21,1.07,1.22,1.06,1.09,0.0399,0.1138,0.0646,13590
36,WPR,China,CHN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.61,0.24,0.27,0.24,0.52,0.32,0.0187,0.0829,0.0283,8316.666667
37,AMR,Colombia,COL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,92,0.23,0.9,0.42,0.4,0.07,0.23,0.0058,0.107,0.0795,6573.333333
38,AFR,Comoros,COM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,91,0.69,0.15,1.09,1.12,1.67,1.02,0.0131,0.075,0.0256,1326.666667
39,AFR,Congo,COG,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,78,79,1.26,0.89,1.15,1.3,1.39,1.41,0.0221,0.175,0.0343,2333.333333
40,WPR,Cook Islands,COK,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,AMR,Costa Rica,CRI,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,94,95,1.13,0.46,0.54,0.5,0.42,0.72,0.0103,0.0581,0.0534,11100
42,AFR,Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,85,84,0.22,0.96,0.57,0.24,0.48,0.53,0.0148,0.1636,0.0783,1843.333333
43,EUR,Croatia,HRV,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,94,94,0.53,0.76,0.37,0.59,0.41,0.13,0.0435,0.0679,0.0397,12676.66667
44,AMR,Cuba,CUB,,,,,,,,,,,,,,,,,1,TRUE,0,FALSE,99,99,1.42,0.61,0.32,1.49,0.17,0.04,NA,NA,NA,7355
45,EUR,Cyprus,CYP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.08,0.52,0.76,1.01,0.99,0.6,0.0602,0.0986,0.0619,25133.33333
46,EUR,Cyprus,CYP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.08,0.52,0.76,1.01,0.99,0.6,NA,NA,0.011,25133.33333
47,EUR,Cyprus,CYP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.08,0.52,0.76,1.01,0.99,0.6,0.0602,0.0986,0.0619,25133.33333
48,EUR,Cyprus,CYP,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.08,0.52,0.76,1.01,0.99,0.6,NA,NA,0.011,25133.33333
49,EUR,Czechia,CZE,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,0.94,0.95,1.05,1.25,0.89,0.51,0.0298,0.066,0.0308,18116.66667
50,SEAR,Democratic People's Republic of Korea,PRK,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,98,97,2.19,0.3,1.65,2.4,1.4,1.59,NA,NA,NA,NA
51,AFR,Democratic Republic of the Congo,COD,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.3333333
52,EUR,Denmark,DNK,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,1.58,1.01,1.9,1.57,1.94,2.11,0.0236,0.0898,0.0408,58413.33333
53,EMR,Djibouti,DJI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,85,85,1.41,0.34,0.91,0.77,0.71,0.86,NA,NA,NA,2863.333333
54,AMR,Dominica,DMA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.9,1.07,0.69,0.1,0.26,0.53,NA,NA,NA,7143.333333
55,AMR,Dominican Republic,DOM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,92,89,0.2,0.02,0.35,0.05,0.36,0.76,NA,0.0491,0.0277,6843.333333
56,AMR,Ecuador,ECU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,85,85,0.06,0.19,0.58,0.82,0.4,0.5,0.0089,0.0539,0.0578,5880
57,EMR,Egypt,EGY,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,95,1.43,1.07,0.42,0.83,0.42,0.67,NA,NA,NA,3270
58,AMR,El Salvador,SLV,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,81,81,0.14,0.13,0.76,0.02,0.47,0.55,0.0083,0.1138,0.0816,3516.666667
59,AFR,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,55,53,1.86,0.19,1.42,1.52,1.34,1.72,NA,NA,NA,8543.333333
60,AFR,Eritrea,ERI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,95,95,2.19,0.72,1.6,2.27,1.76,1.39,NA,NA,NA,NA
61,EUR,Estonia,EST,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,91,1.21,0.64,1.28,1.59,1.17,1.54,0.0572,0.1349,0.0658,18636.66667
62,AFR,Eswatini,SWZ,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,89,90,1.32,0.38,0.5,0.61,0.68,0.49,0.0139,0.1009,0.0809,3546.666667
63,AFR,Ethiopia,ETH,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,72,69,1.05,1.28,0.47,0.89,0.63,0.41,NA,0.0254,0.0194,670
64,WPR,Fiji,FJI,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.09,0.87,0.03,0.22,0.2,0.56,NA,NA,NA,5250
65,EUR,Finland,FIN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,91,1.59,0.91,2.02,1.85,1.93,2.15,0.0168,0.0799,0.0423,45813.33333
66,EUR,France,FRA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,1.14,0.31,1.41,1.44,1.38,1.3,0.0976,0.3329,0.1828,39480
67,AFR,Gabon,GAB,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,70,70,1.03,0.18,0.73,0.96,0.9,0.94,0.0265,0.2586,0.1164,7186.666667
68,AFR,Gambia,GMB,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,88,88,0.22,0.11,0.37,0.66,0.63,0.29,0.0281,0.0478,0.0521,633.3333333
69,EUR,Georgia,GEO,,,,,,,,,,,,,,,,,0,FALSE,1,TRUE,94,94,0.2,0.45,0.31,1.12,0.83,0.67,0.0363,0.0958,0.0515,4176.666667
70,EUR,Germany,DEU,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,93,93,1.34,0.58,1.62,1.72,1.59,1.9,0.0429,0.1288,0.0321,44550
71,AFR,Ghana,GHA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,97,97,0.58,0.1,0.05,0.11,0.21,0.08,0.0276,0.035,0.0597,1870
